TexturePath,Error,Action,BackupPath
textures/mob_effect/night_vision.png,UnidentifiedImageError: cannot identify image file 'C:\\Users\\Admin\\curseforge\\minecraft\\Instances\\Infinite Domain\\resourcepacks\\LAST_DAYS_INFINITE_DOMAIN_1_21_1\\assets\\minecraft\\textures\\mob_effect\\night_vision.png',replaced_with_vanilla_1.21.1,ROOT_tools\vanilla_review_quarantine\invalid_pngs\mob_effect\night_vision.png
textures/mob_effect/poison.png,UnidentifiedImageError: cannot identify image file 'C:\\Users\\Admin\\curseforge\\minecraft\\Instances\\Infinite Domain\\resourcepacks\\LAST_DAYS_INFINITE_DOMAIN_1_21_1\\assets\\minecraft\\textures\\mob_effect\\poison.png',replaced_with_vanilla_1.21.1,ROOT_tools\vanilla_review_quarantine\invalid_pngs\mob_effect\poison.png
textures/mob_effect/regeneration.png,UnidentifiedImageError: cannot identify image file 'C:\\Users\\Admin\\curseforge\\minecraft\\Instances\\Infinite Domain\\resourcepacks\\LAST_DAYS_INFINITE_DOMAIN_1_21_1\\assets\\minecraft\\textures\\mob_effect\\regeneration.png',replaced_with_vanilla_1.21.1,ROOT_tools\vanilla_review_quarantine\invalid_pngs\mob_effect\regeneration.png
textures/mob_effect/resistance.png,UnidentifiedImageError: cannot identify image file 'C:\\Users\\Admin\\curseforge\\minecraft\\Instances\\Infinite Domain\\resourcepacks\\LAST_DAYS_INFINITE_DOMAIN_1_21_1\\assets\\minecraft\\textures\\mob_effect\\resistance.png',replaced_with_vanilla_1.21.1,ROOT_tools\vanilla_review_quarantine\invalid_pngs\mob_effect\resistance.png
textures/mob_effect/saturation.png,UnidentifiedImageError: cannot identify image file 'C:\\Users\\Admin\\curseforge\\minecraft\\Instances\\Infinite Domain\\resourcepacks\\LAST_DAYS_INFINITE_DOMAIN_1_21_1\\assets\\minecraft\\textures\\mob_effect\\saturation.png',replaced_with_vanilla_1.21.1,ROOT_tools\vanilla_review_quarantine\invalid_pngs\mob_effect\saturation.png
textures/mob_effect/slow_falling.png,UnidentifiedImageError: cannot identify image file 'C:\\Users\\Admin\\curseforge\\minecraft\\Instances\\Infinite Domain\\resourcepacks\\LAST_DAYS_INFINITE_DOMAIN_1_21_1\\assets\\minecraft\\textures\\mob_effect\\slow_falling.png',replaced_with_vanilla_1.21.1,ROOT_tools\vanilla_review_quarantine\invalid_pngs\mob_effect\slow_falling.png
textures/mob_effect/slowness.png,UnidentifiedImageError: cannot identify image file 'C:\\Users\\Admin\\curseforge\\minecraft\\Instances\\Infinite Domain\\resourcepacks\\LAST_DAYS_INFINITE_DOMAIN_1_21_1\\assets\\minecraft\\textures\\mob_effect\\slowness.png',replaced_with_vanilla_1.21.1,ROOT_tools\vanilla_review_quarantine\invalid_pngs\mob_effect\slowness.png
textures/mob_effect/speed.png,UnidentifiedImageError: cannot identify image file 'C:\\Users\\Admin\\curseforge\\minecraft\\Instances\\Infinite Domain\\resourcepacks\\LAST_DAYS_INFINITE_DOMAIN_1_21_1\\assets\\minecraft\\textures\\mob_effect\\speed.png',replaced_with_vanilla_1.21.1,ROOT_tools\vanilla_review_quarantine\invalid_pngs\mob_effect\speed.png
textures/mob_effect/strength.png,UnidentifiedImageError: cannot identify image file 'C:\\Users\\Admin\\curseforge\\minecraft\\Instances\\Infinite Domain\\resourcepacks\\LAST_DAYS_INFINITE_DOMAIN_1_21_1\\assets\\minecraft\\textures\\mob_effect\\strength.png',replaced_with_vanilla_1.21.1,ROOT_tools\vanilla_review_quarantine\invalid_pngs\mob_effect\strength.png
textures/mob_effect/unluck.png,UnidentifiedImageError: cannot identify image file 'C:\\Users\\Admin\\curseforge\\minecraft\\Instances\\Infinite Domain\\resourcepacks\\LAST_DAYS_INFINITE_DOMAIN_1_21_1\\assets\\minecraft\\textures\\mob_effect\\unluck.png',replaced_with_vanilla_1.21.1,ROOT_tools\vanilla_review_quarantine\invalid_pngs\mob_effect\unluck.png
textures/mob_effect/water_breathing.png,UnidentifiedImageError: cannot identify image file 'C:\\Users\\Admin\\curseforge\\minecraft\\Instances\\Infinite Domain\\resourcepacks\\LAST_DAYS_INFINITE_DOMAIN_1_21_1\\assets\\minecraft\\textures\\mob_effect\\water_breathing.png',replaced_with_vanilla_1.21.1,ROOT_tools\vanilla_review_quarantine\invalid_pngs\mob_effect\water_breathing.png
textures/mob_effect/weakness.png,UnidentifiedImageError: cannot identify image file 'C:\\Users\\Admin\\curseforge\\minecraft\\Instances\\Infinite Domain\\resourcepacks\\LAST_DAYS_INFINITE_DOMAIN_1_21_1\\assets\\minecraft\\textures\\mob_effect\\weakness.png',replaced_with_vanilla_1.21.1,ROOT_tools\vanilla_review_quarantine\invalid_pngs\mob_effect\weakness.png
textures/mob_effect/wither.png,UnidentifiedImageError: cannot identify image file 'C:\\Users\\Admin\\curseforge\\minecraft\\Instances\\Infinite Domain\\resourcepacks\\LAST_DAYS_INFINITE_DOMAIN_1_21_1\\assets\\minecraft\\textures\\mob_effect\\wither.png',replaced_with_vanilla_1.21.1,ROOT_tools\vanilla_review_quarantine\invalid_pngs\mob_effect\wither.png
