quest_number,chapter,quest_id,present,optional_ok,checkmark_task,dependency_ok,reward_policy,localized,status
1,prologue,6002100000000001,True,True,True,True,True,True,PASS
2,prologue,6002100000000002,True,True,True,True,True,True,PASS
3,era0,6002100000000003,True,True,True,True,True,True,PASS
4,era4,6002100000000004,True,True,True,True,True,True,PASS
5,prologue,6002100000000005,True,True,True,True,True,True,PASS
6,prologue,6002100000000006,True,True,True,True,True,True,PASS
7,era0,6002100000000007,True,True,True,True,True,True,PASS
8,era0,6002100000000008,True,True,True,True,True,True,PASS
9,prologue,6002100000000009,True,True,True,True,True,True,PASS
